Speed (m/s),Lift_min,Lift_max
0.0,,
5.459331192710427,-0.0043019024083382,0.00535137281567358
10.918662385420854,-0.01846865018014583,0.022980434388366087
16.37799357813128,-0.042211676082466,0.052809673986229516
21.837324770841708,-0.07579968335924743,0.09499218834691185
27.296655963552134,-0.11926835991521137,0.14963046209110692
32.75598715626256,-0.1726931898546481,0.21685614019495994
38.215318348972986,-0.2361666314069408,0.2967692697267555
43.674649541683415,-0.30979189892113396,0.3894983571756124
49.133980734393845,-0.3936741905290542,0.4951835692801062
54.59331192710427,-0.4879184058962923,0.6139753080088503
60.0526431198147,-0.5926313764781919,0.7460368934613762
65.51197431252513,-0.7079219765113248,0.8915434479048692
70.97130550523555,-0.8339023681172822,1.050681647124945
76.43063669794597,-0.9706913085204296,1.223651510072068
81.88996789065641,-1.1184173580609034,1.4106681982064722
87.34929908336683,-1.277221575571971,1.6119631160925518
92.80863027607725,-1.4472595145300993,1.827781613746859
98.26796146878769,-1.6287015608711277,2.058362469943218
103.72729266149811,-1.8217270800314385,2.3038214630244167
109.18662385420853,-2.026489035296052,2.563533298184804
114.64595504691897,-2.2429291945745224,2.8329371767154403
120.1052862396294,-2.4698363479631946,3.088062443526816
125.56461743233982,-2.700168539590963,3.2292328719442853
131.02394862505025,-2.899925366511689,3.2356189261958583
136.48327981776066,-2.946993591169433,3.2537241048792764
141.9426110104711,-2.8809087514435,3.2727470044333598
147.40194220318153,-2.826672152625593,3.2807720042042288
152.86127339589194,-2.767541409937512,3.315207227140774
158.32060458860238,-2.7053827589053605,3.3277961884563343
163.77993578131282,-2.6233867374905704,3.3291250217624455
169.23926697402322,-2.666608003757508,3.348423472849543
174.69859816673366,-2.8486419635450595,3.5856735666234214
180.1579293594441,-3.045496398940953,3.839436553695194
185.6172605521545,-3.252609488244911,4.106216494123193
191.07659174486494,-3.4689772780284307,4.385414736010574
196.53592293757538,-3.6945383256305275,4.677206378095877
201.9952541302858,-3.929472969642693,4.9819755770572485
207.45458532299622,-4.174023732215198,5.3001716432385475
212.91391651570666,-4.428448319189399,5.632271959575905
218.37324770841707,-4.693005816755547,5.9787717148838455
223.8325789011275,-4.967951263786198,6.34018060935854
229.29191009383794,-5.2535327008029755,6.717022002366275
234.75124128654835,-5.549989765170809,7.109834095699755
240.2105724792588,-5.857554478885958,7.519174202438021
245.66990367196922,-6.176455746615414,7.945628124055315
251.12923486467963,-6.506929965514121,8.389827744263822
256.58856605739004,-6.8492412674330625,8.852481337889957
262.0478972501005,-7.2037163449575585,9.334422831299504
267.5072284428109,-7.570800532021338,9.836688232636464
